Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Materials,image_file
Girard-Perregaux,Laureato,81010-11-131-11A,Laureato 42 Automatic Stainless Steel / Silver,"Girard-Perregaux caliber GP01800-0008
Hours, Minutes, Seconds | Date",2017,No,,Sapphire,Open,Round,42.00 mm,10.88 mm,27.00 mm,100.00 m,,Silver,Guilloche,Stick / Dot,Stick,Stainless Steel,81010-11-131-11A.jpg
Girard-Perregaux,1966,49534-52-R05-BB60,1966 The Chamber of Wonders Terrestrial Map,"Girard-Perregaux caliber GP03300-0060
Hours, Minutes",,"Yes, 18 units",,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,White,Guilloche,Stick / Dot,Feuille,Jade,49534-52-R05-BB60.jpg
Girard-Perregaux,1966,49534-52-R04-BB60,1966 The Chamber of Wonders Peal of Wonders,"Girard-Perregaux caliber GP03300-0060
Hours, Minutes",,"Yes, 18 units",,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,Blue,Guilloche,Stick / Dot,Feuille,Sodalite,49534-52-R04-BB60.jpg
Girard-Perregaux,Laureato,81010-11-131-BB6A,Laureato 42 Automatic Stainless Steel / Silver / Alligator,"Girard-Perregaux caliber GP01800-0008
Hours, Minutes, Seconds | Date",2017,No,,Sapphire,Open,Round,42.00 mm,10.88 mm,27.00 mm,100.00 m,,Silver,Guilloche,Stick / Dot,Stick,Stainless Steel,81010-11-131-BB6A.jpg
Girard-Perregaux,Laureato,99105-26-231-BB6A,Laureato 45 Tourbillon Titanium / Pink Gold / Grey / Alligator,"Girard-Perregaux caliber GP09510-0001
Hours, Minutes | Tourbillon Escapement",2017,No,,Sapphire,Open,Round,45.00 mm,11.96 mm,28.00 mm,50.00 m,,Grey,Guilloche,Stick / Dot,Stick,"Pink Gold, Titanium",99105-26-231-BB6A.jpg
Girard-Perregaux,1966,49523D11A271-CKBA,1966 36mm Stainless Steel / Diamond / Taupe / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,Smoked,Grey,Guilloche,Gem-Set Indexes,Feuille,Stainless Steel,49523D11A271-CKBA.jpg
Girard-Perregaux,1966,49555-11-1A1-BB60,1966 40 Stainless Steel Black Alligator Strap,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,40.00 mm,8.90 mm,,30.00 m,Silver Opaline,Silver,Guilloche,Mixed,Feuille,Stainless Steel,49555-11-1A1-BB60.jpg
Girard-Perregaux,1966,49525D52A1A1-52A,1966 38 Pink Gold / Diamond / Silver / Bracelet,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2015,No,,Sapphire,Open,Round,38.00 mm,8.62 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Feuille,Pink Gold,49525D52A1A1-52A.jpg
Girard-Perregaux,Bridges,99830-21-000-BA6A,Minute Repeater Tri-Axial Tourbillon Titanium,"Girard-Perregaux caliber GP09560-0001
Hours, Minutes | Minute Repeater | Tourbillon Escapement, Skeleton",2018,No,,Sapphire,Open,Round,48.00 mm,21.30 mm,22.00 mm,30.00 m,,Skeleton,,Stick / Dot,Dauphine,Titanium,99830-21-000-BA6A.jpg
Girard-Perregaux,1966,49555-11-1A1-11A,1966 40 Stainless Steel Bracelet,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,40.00 mm,8.90 mm,,30.00 m,Silver Opaline,Silver,Guilloche,Mixed,Feuille,Stainless Steel,49555-11-1A1-11A.jpg
Girard-Perregaux,Vintage 1945,25882-52-121-BB6B,Vintage 1945 XXL Large Date and Moonphases Pink Gold / Silver,"Girard-Perregaux caliber GP03300-0062
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.00 mm,35.00 mm,24.00 mm,,Opaline,Silver,,Arabic Numerals,Sword,Pink Gold,25882-52-121-BB6B.jpg
Girard-Perregaux,1966,49528D11A172-11A,1966 30mm Stainless Steel / Diamond / Silver / Bracelet,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,silver flinqué,Silver,Guilloche,Stick / Dot,Feuille,Stainless Steel,49528D11A172-11A.jpg
Girard-Perregaux,1966,49527-52-431-BB4A,1966 41 Pink Gold / Blue,"Girard-Perregaux caliber GP01800-0004
Hours, Minutes, Small Seconds | Date",2014,No,,Sapphire,Open,Round,41.00 mm,10.01 mm,,30.00 m,,Blue,Sunburst,Stick / Dot,Feuille,Pink Gold,49527-52-431-BB4A.jpg
Girard-Perregaux,1966,49523D11A171-11A,1966 36mm Stainless Steel / Diamond / Silver / Bracelet,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Stick / Dot,Feuille,Stainless Steel,49523D11A171-11A.jpg
Girard-Perregaux,Vintage 1945,25882-52-1829BB4A,Vintage 1945 XXL Large Date and Moonphases Pink Gold / Blue Polycrystalline,"Girard-Perregaux caliber GP03300-0105
Hours, Minutes, Small Seconds | Big Date | Moonphase",2019,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Blue,,Mixed,Sword,Polycrystalline,25882-52-1829BB4A.jpg
Girard-Perregaux,1966,49555-11-131-BB60,1966 40 Stainless Steel,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Feuille,Stainless Steel,49555-11-131-BB60.jpg
Girard-Perregaux,1966,49544-52-231-BB60,1966 Dual Time Pink Gold Grey,"Girard-Perregaux caliber GP03300-0094
Hours, Minutes, Seconds, Additional 24 Hour Hand (adjustable) | Date",2014,No,,Sapphire,Open,Round,40.00 mm,10.01 mm,,30.00 m,,Grey,Guilloche,Stick / Dot,Feuille,Pink Gold,49544-52-231-BB60.jpg
Girard-Perregaux,Vintage 1945,25882-11-421-BB4A,Vintage 1945 XXL Large Date and Moonphases Stainless Steel / Blue Polycrystalline,"Girard-Perregaux caliber GP03300-0105
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Blue,,Mixed,Sword,Polycrystalline,25882-11-421-BB4A.jpg
Girard-Perregaux,Heritage,99815-21-653-BA6E,Tri-Axial Tourbillon Titanium,"Girard-Perregaux caliber GP09300-0002
Hours, Minutes | Tourbillon Escapement, Power Reserve Indicator",2016,"Yes, 20 units",,Sapphire,Open,Round,46.00 mm,,,30.00 m,,Skeleton,,Arabic Numerals,Dauphine,Titanium,99815-21-653-BA6E.jpg
Girard-Perregaux,1966,49529-52-231-BA6A,1966 Chronograph Pink Gold Grey,"Girard-Perregaux caliber GP03800-0001
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,,Sapphire,Open,Round,40.00 mm,11.25 mm,,30.00 m,Anthracite,Grey,Guilloche,Stick / Dot,Feuille,Pink Gold,49529-52-231-BA6A.jpg
Girard-Perregaux,1966,49529-52-131-BABA,1966 Chronograph Pink Gold White,"Girard-Perregaux caliber GP03800-0001
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,,Sapphire,Open,Round,40.00 mm,11.25 mm,,30.00 m,,White,Guilloche,Stick / Dot,Feuille,Pink Gold,49529-52-131-BABA.jpg
Girard-Perregaux,Laureato,81005-11-131-BB6A,Laureato 38 Automatic Stainless Steel / Silver,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2017,No,,Sapphire,Open,Round,38.00 mm,10.02 mm,24.00 mm,100.00 m,,Silver,Guilloche,Stick / Dot,Stick,Stainless Steel,81005-11-131-BB6A.jpg
Girard-Perregaux,1966,49528D11A172-CB6A,1966 30mm Stainless Steel / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,silver flinqué,Silver,Guilloche,Stick / Dot,Feuille,Stainless Steel,49528D11A172-CB6A.jpg
Girard-Perregaux,Laureato,81000-11-431-11A,Laureato 41 Automatic Stainless Steel / Blue,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",2016,"Yes, 225 units",,Sapphire,Open,Round,41.00 mm,10.10 mm,,30.00 m,,Blue,Guilloche,Stick / Dot,Stick,Stainless Steel,81000-11-431-11A.jpg
Girard-Perregaux,Vintage 1945,25882-52-222-BB6B,Vintage 1945 XXL Large Date and Moonphases Pink Gold / Grey Sapphire,"Girard-Perregaux caliber GP03300-0105
Hours, Minutes, Small Seconds | Big Date | Moonphase",2013,No,,Sapphire,Open,Rectangular,36.10 mm,35.25 mm,24.00 mm,,,Grey,,Mixed,Sword,Sapphire,25882-52-222-BB6B.jpg
Girard-Perregaux,1966,49523D56A171-CB6A,1966 36mm Stainless Steel / Pink Gold / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Mixed,Feuille,Pink Gold,49523D56A171-CB6A.jpg
Girard-Perregaux,1966,49555-11-131-11A,1966 40 Stainless Steel Bracelet,"Girard-Perregaux caliber GP03300-0030
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,Silver,Guilloche,Stick / Dot,Feuille,Stainless Steel,49555-11-131-11A.jpg
Girard-Perregaux,1966,49528D52A771-CK6A,1966 30mm Pink Gold / Diamond / MOP / Alligator,"Girard-Perregaux caliber GP03200-0012
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,30.00 mm,8.90 mm,,30.00 m,,White,,Stick / Dot,Feuille,Mother of Pearl,49528D52A771-CK6A.jpg
Girard-Perregaux,1966,49534-52-R06-BB60,1966 The Chamber of Wonders Novus Orbis,"Girard-Perregaux caliber GP03300-0060
Hours, Minutes",,"Yes, 18 units",,Sapphire,Open,Round,40.00 mm,8.50 mm,,30.00 m,,Multi-Color,Guilloche,Stick / Dot,Feuille,Pink Gold,49534-52-R06-BB60.jpg
Girard-Perregaux,1966,49523D11A171-CB6A,1966 36mm Stainless Steel / Diamond / Silver / Alligator,"Girard-Perregaux caliber GP03300-0123
Hours, Minutes, Seconds",,No,Gem-Set,Sapphire,Open,Round,36.00 mm,9.01 mm,,30.00 m,silver flinqué,Silver,Guilloche,Mixed,Feuille,Stainless Steel,49523D11A171-CB6A.jpg
Zenith,Defy Skyline,03.9400.670.51.I001,Defy Skyline 36 Stainless Steel / Blue,"Zenith caliber Elite 670
Hours, Minutes, Seconds | Date",2023,No,,Sapphire,Open,Other,36.00 mm,,,100.00 m,,Blue,,Stick / Dot,Stick,Stainless Steel,03.9400.670.51.I001.jpg
Zenith,Defy Skyline,16.9400.670.61.I001,Defy Skyline 36 Stainless Steel - Diamond / Green,"Zenith caliber Elite 670
Hours, Minutes, Seconds | Date",2023,No,Gem-Set,Sapphire,Open,Other,36.00 mm,,,100.00 m,,Green,,Stick / Dot,Stick,Stainless Steel,16.9400.670.61.I001.jpg
Hublot,Spirit of Big Bang,665.NX.1170.RX.1204,Spirit of Big Bang 39 Titanium / Diamonds,"Hublot caliber HUB1710
Hours, Minutes, Seconds | Date",,No,Gem-Set,Sapphire,Open,Tonneau,39.00 mm,,,100.00 m,,Black,,Stick / Dot,Stick,"Titanium, Resin",665.NX.1170.RX.1204.jpg
Hublot,Classic Fusion,521.OX.7180.LR,Classic Fusion 45 Chronograph King Gold / Blue,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Blue,Sunburst,Stick / Dot,Stick,"Titanium, Red Gold, Resin",521.OX.7180.LR.jpg
Hublot,Classic Fusion,568.NX.1170.NX,Classic Fusion 38 Titanium / Black / Bracelet,"Hublot caliber HUB1110
Hours, Minutes, Seconds | Date",2016,No,,Sapphire,Open,Round,38.00 mm,,,50.00 m,,Black,Matte,Stick / Dot,Stick,"Titanium, Resin",568.NX.1170.NX.jpg
Hublot,Big Bang,411.OM.1180.RX,Big Bang Unico 45 King Gold / Ceramic / Black,"Hublot caliber HUB1242
Hours, Minutes | Date | Chronograph, Flyback, Column wheel",2013,No,,Sapphire,Open,Round,45.00 mm,,,100.00 m,,Skeleton,,Mixed,Stick,"Titanium, Ceramic, Red Gold, Aluminium",411.OM.1180.RX.jpg
Hublot,MP Collection,905.JX.0001.RT,MP5 LaFerrari Sapphire,"Hublot caliber HUB9005
Hours, Minutes, Small Seconds | Power Reserve Indicator, Tourbillon Escapement",2016,"Yes, 20 units",,Sapphire,Open,Round,39.50 mm,,,30.00 m,,Skeleton,,Mixed,Stick,"Titanium, Sapphire",905.JX.0001.RT.jpg
Hublot,Spirit of Big Bang,665.NX.7170.LR.1204,Spirit of Big Bang 39 Titanium / Diamonds / Blue,"Hublot caliber HUB1710
Hours, Minutes, Seconds | Date",,No,Gem-Set,Sapphire,Open,Tonneau,39.00 mm,,,100.00 m,,Blue,,Stick / Dot,Stick,"Titanium, Resin",665.NX.7170.LR.1204.jpg
Hublot,Classic Fusion,521.NX.7071.LR,Classic Fusion 45 Chronograph Titanium / Racing Grey,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Grey,Sunburst,Stick / Dot,Stick,"Titanium, Resin",521.NX.7071.LR.jpg
Hublot,Classic Fusion,521.OX.2611.LR,Classic Fusion 45 Chronograph King Gold / Opalin,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Silver,,Stick / Dot,Stick,"Titanium, Red Gold, Resin",521.OX.2611.LR.jpg
Hublot,Spirit of Big Bang,601.OX.0183.LR.0904,Spirit of Big Bang 45 King Gold / Jewellery,"Hublot caliber HUB4700
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,Gem-Set,Sapphire,Open,Tonneau,45.00 mm,,,100.00 m,,Skeleton,,Stick / Dot,Stick,"Titanium, Resin, Diamond",601.OX.0183.LR.0904.jpg
Hublot,Classic Fusion,511.OX.0500.VR.BER16,Classic Fusion 45 Berlutti Scritto,"Hublot caliber HUB1110
Hours, Minutes, Seconds | Date",2016,"Yes, 250 units",,Sapphire,Open,Round,45.00 mm,,,50.00 m,Berluti Patinated Venezia,Brown,Sunburst,Stick / Dot,Stick,"Titanium, Red Gold, Resin",511.OX.0500.VR.BER16.jpg
Hublot,Spirit of Big Bang,665.NE.2010.LR.1604,Spirit of Big Bang 39 Titanium / Pavé / White,"Hublot caliber HUB1710
Hours, Minutes, Seconds | Date",,No,Gem-Set,Sapphire,Open,Tonneau,39.00 mm,,,100.00 m,,White,,Stick / Dot,Stick,"Titanium, Resin, Diamond",665.NE.2010.LR.1604.jpg
Hublot,Classic Fusion,511.OX.1181.LR,Classic Fusion 45 King Gold / Black,"Hublot caliber HUB1112
Hours, Minutes, Seconds | Date",2010,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Black,Matte,Stick / Dot,Stick,"Red Gold, Resin",511.OX.1181.LR.jpg
Hublot,Classic Fusion,521.NX.1171.LR.1104,Classic Fusion 45 Chronograph Titanium / Diamonds,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Open,,45.00 mm,,,50.00 m,,Black,,Stick / Dot,Stick,"Titanium, Resin",521.NX.1171.LR.1104.jpg
Hublot,Classic Fusion,510.NX.7170.NX,Classic Fusion 45 Titanium / Blue / Bracelet,,2010,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Blue,Sunburst,Stick / Dot,Stick,"Titanium, Resin",510.NX.7170.NX.jpg
Hublot,Spirit of Big Bang,601.CI.7170.LR,Spirit of Big Bang 45 Ceramic / Blue,"Hublot caliber HUB4700
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,,Sapphire,Open,Tonneau,45.00 mm,,,100.00 m,,Skeleton,,Stick / Dot,Stick,"Titanium, Ceramic, Resin",601.CI.7170.LR.jpg
Hublot,Big Bang,401.FX.1123.VR,Big Bang Ferrari,"Hublot caliber HUB1241
Hours, Minutes | Date | Chronograph, Flyback, Column wheel",2015,"Yes, 250 units",,Sapphire,Open,Round,45.00 mm,,,100.00 m,,Skeleton,,Mixed,Stick,"Titanium, Ceramic, Resin",401.FX.1123.VR.jpg
Hublot,Spirit of Big Bang,601.OX.7180.LR,Spirit of Big Bang 45 King Gold / Blue,"Hublot caliber HUB4700
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,,Sapphire,Open,Tonneau,45.00 mm,,,100.00 m,,Skeleton,,Stick / Dot,Stick,"Titanium, Red Gold, Resin",601.OX.7180.LR.jpg
Hublot,Spirit of Big Bang,665.NX.1170.LR.1604,Spirit of Big Bang 39 Titanium / Pavé,"Hublot caliber HUB1710
Hours, Minutes, Seconds | Date",,No,Gem-Set,Sapphire,Open,Tonneau,39.00 mm,,,100.00 m,,Black,,Stick / Dot,Stick,"Titanium, Resin, Diamond",665.NX.1170.LR.1604.jpg
Hublot,Classic Fusion,521.NX.1171.LR,Classic Fusion 45 Chronograph Titanium / Black,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Black,Matte,Stick / Dot,Stick,"Titanium, Resin",521.NX.1171.LR.jpg
Hublot,Classic Fusion,521.NX.2611.LR,Classic Fusion 45 Chronograph Titanium / Opalin,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Silver,,Stick / Dot,Stick,"Titanium, Resin",521.NX.2611.LR.jpg
Hublot,Classic Fusion,511.CM.7170.LR,Classic Fusion 45 Ceramic / Blue,"Hublot caliber HUB1112
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Blue,Sunburst,Stick / Dot,Stick,"Titanium, Ceramic, Resin",511.CM.7170.LR.jpg
Hublot,Classic Fusion,511.CO.1781.RX,Classic Fusion 45 Ceramic / King Gold,"Hublot caliber HUB1112
Hours, Minutes, Seconds | Date",2010,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Black,Matte,Stick / Dot,Stick,"Titanium, Ceramic, Red Gold, Resin",511.CO.1781.RX.jpg
Hublot,Spirit of Big Bang,601.NM.0173.LR,Spirit of Big Bang 45 Titanium / Ceramic,"Hublot caliber HUB4700
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,,Sapphire,Open,Tonneau,45.00 mm,,,100.00 m,,Skeleton,,Stick / Dot,Stick,"Titanium, Ceramic, Resin",601.NM.0173.LR.jpg
Hublot,Big Bang,411.JX.4802.RT,Big Bang Unico 45 Sapphire,"Hublot caliber HUB1242
Hours, Minutes | Date | Chronograph, Flyback, Column wheel",2016,"Yes, 500 units",,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Skeleton,,Mixed,Stick,"Titanium, Resin, Sapphire",411.JX.4802.RT.jpg
Hublot,Classic Fusion,521.OC.0589.VR.OPX14,Classic Fusion 45 Chronograph Forbiden X King Gold,"Hublot caliber HUB1143
Hours, Minutes, Small Seconds | Date | Chronograph",2014,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,,Brown,,Stick / Dot,Stick,"Titanium, Ceramic, Resin",521.OC.0589.VR.OPX14.jpg
Hublot,Spirit of Big Bang,601.MX.0138.RX,Spirit of Big Bang 45 Full Magic Gold,"Hublot caliber HUB4700
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,,Sapphire,Open,Tonneau,45.00 mm,,,100.00 m,,Skeleton,,Stick / Dot,Stick,Magic Gold,601.MX.0138.RX.jpg
Hublot,Classic Fusion,511.OX.7081.LR,Classic Fusion 45 King Gold / Racing Grey,"Hublot caliber HUB1112
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,45.00 mm,,,50.00 m,Racing,Grey,Sunburst,Stick / Dot,Stick,"Titanium, Red Gold, Resin",511.OX.7081.LR.jpg
